Banco de dados de cidades: http://www.fazenda.mg.gov.br/governo/assuntos_municipais/codigomunicipio/

total de cidades retiradas do site: 5593

itens removidos por pkcidade repetidos: 33

total do banco de dados: 5560

	---------REMOVIDOS POR PKCIDADE REPETIDOS--------
pkcidade	txnome				txestado
0		PORTO BRANCO			AP
0		IMBUI				BA
3691		LIVRAMENTO DE NOSSA SENHORA	BA
3691		LIVRAMENTO DO BRUMADO		BA
0		QUATIS				CE
764		SAO ROQUE DO CANAA		ES
764		SAO ROQUE DO CANAA		ES
0		DIANOPOLIS			GO
0		ESPERANCA			MT
0		PORTO TROMBETA			PA
0		ASSIS CHATEAUBRIAND		PB
0		BOQUEIRAO DOS COCHOS		PB
2229		CAMPO DE SANTANA		PB
0		DESTERRO DE MALTA		PB
2229		TACIMA				PB
0		SITIO DOS MOREIRAS		PE
0		CAMPO ALEGRE DO PIAUI		PI
0		PETRONIO PORTELA		PI
0		PELINCA				RJ
778		PINHEIRAL			RJ
778		PINHEIRAL			RJ
0		AUGUSTO SEVERO			RN
1773		ESPIRITO SANTO DO OESTE		RN
0		JANUARIO CICCO			RN
1773		PARAU				RN
0		PRESIDENTE JUSCELINO		RN
0		BAIXA GRANDE DO RIBEIRO		RO
0		CACAIEIROS			RO
683		ITAPUA DO OESTE			RO
683		JAMARI				RO
0		BROCHIER DO MARATA		RS
0		TEINAS				RS
0		MOSQUITO			TO
		
